iter	Passed	Remaining
814	11731	2663
815	11743	2648
816	11755	2633
817	11768	2618
818	11782	2604
819	11795	2589
820	11807	2574
821	11822	2560
822	11836	2545
823	11848	2530
824	11860	2515
825	11872	2501
826	11886	2486
827	11899	2471
828	11912	2457
829	11924	2442
830	11937	2427
831	11948	2412
832	11962	2398
833	11975	2383
834	11988	2368
835	12001	2354
836	12014	2339
837	12027	2325
838	12040	2310
839	12052	2295
840	12065	2281
841	12077	2266
842	12091	2251
843	12105	2237
844	12118	2222
845	12132	2208
846	12144	2193
847	12160	2179
848	12175	2165
849	12192	2151
850	12209	2137
851	12224	2123
852	12243	2110
853	12262	2096
854	12279	2082
855	12295	2068
856	12310	2054
857	12326	2040
858	12342	2025
859	12358	2011
860	12375	1997
861	12391	1983
862	12407	1969
863	12422	1955
864	12438	1941
865	12453	1926
866	12469	1912
867	12485	1898
868	12501	1884
869	12517	1870
870	12532	1856
871	12547	1841
872	12563	1827
873	12579	1813
874	12592	1798
875	12609	1784
876	12624	1770
877	12640	1756
878	12656	1742
879	12672	1728
880	12688	1713
881	12704	1699
882	12721	1685
883	12737	1671
884	12753	1657
885	12770	1643
886	12786	1628
887	12802	1614
888	12818	1600
889	12832	1586
890	12847	1571
891	12862	1557
892	12877	1542
893	12893	1528
894	12908	1514
895	12923	1500
896	12940	1485
897	12956	1471
898	12971	1457
899	12985	1442
900	13000	1428
901	13016	1414
902	13032	1399
903	13047	1385
904	13064	1371
905	13080	1357
906	13096	1342
907	13112	1328
908	13127	1314
909	13143	1299
910	13159	1285
911	13174	1271
912	13191	1257
913	13208	1242
914	13225	1228
915	13243	1214
916	13260	1200
917	13279	1186
918	13299	1172
919	13317	1158
920	13334	1143
921	13352	1129
922	13368	1115
923	13386	1101
924	13402	1086
925	13418	1072
926	13434	1057
927	13449	1043
928	13464	1029
929	13479	1014
930	13494	1000
931	13508	985
932	13523	971
933	13541	956
934	13557	942
935	13572	928
936	13588	913
937	13603	899
938	13618	884
939	13634	870
940	13650	855
941	13665	841
942	13680	826
943	13695	812
944	13710	797
945	13726	783
946	13742	769
947	13761	754
948	13778	740
949	13796	726
950	13814	711
951	13831	697
952	13847	682
953	13865	668
954	13884	654
955	13902	639
956	13919	625
957	13938	611
958	13956	596
959	13974	582
960	13992	567
961	14009	553
962	14027	538
963	14045	524
964	14063	510
965	14081	495
966	14099	481
967	14119	466
968	14137	452
969	14154	437
970	14172	423
971	14190	408
972	14210	394
973	14229	379
974	14244	365
975	14261	350
976	14277	336
977	14292	321
978	14310	306
979	14325	292
980	14342	277
981	14359	263
982	14375	248
983	14391	234
984	14408	219
985	14424	204
986	14440	190
987	14455	175
988	14471	160
989	14487	146
990	14502	131
991	14518	117
992	14533	102
993	14548	87
994	14562	73
995	14578	58
996	14592	43
997	14605	29
998	14619	14
999	14635	0
